id,kind,title,path,url,role,current_or_superseded,effort,status,evidence_date,next_update,verified_source,sources,snapshot.as_of,snapshot.description
CAT-A01,roadmap,Catalyst program roadmap,specs/catalyst-program-roadmap.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-program-roadmap.md,authority,Current evaluation and broader-conversation authority,CAT-E01; CAT-E06; CAT-E07; CAT-E08,"Retains evaluation, comparison, and separately scheduled broader-conversation decisions. Feature 008 plan now controls product delivery order.",2026-09-09,Consolidate implementation status and delivery sequencing into Feature 008 without changing the evaluation decisions retained here.,"Local main read lines 3-31, 100-191; root live remote branch confirmation 2026-09-06.","Local main read lines 3-31, 100-191; root live remote branch confirmation 2026-09-06.",2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CAT-A02,implementation plan,Catalyst implementation plan,specs/catalyst-implementation-plan.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-implementation-plan.md,retired pointer,Retired into Feature 008,CAT-E01; CAT-E02; CAT-E03; CAT-E04; CAT-E05,Retired body points to the Feature 008 plan and tasks; its unique material has an explicit current owner or disposition.,2026-09-09,Keep the successor link current; amend Feature 008 for delivery-sequence changes.,"Local and recovered branch read lines 3-65, 174-359; root fetched remote latest and confirmed stale status.","Local and recovered branch read lines 3-65, 174-359; root fetched remote latest and confirmed stale status.",2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CAT-A03,specification,Feature 008 integration and delivery specification,specs/008-catalyst-query-workbench/spec.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/spec.md,authority,Current,CAT-E02; CAT-E06; CAT-E08,"Owns harness integration, dual-source deployment, evidence, and delivery acceptance without redefining Catalyst product behavior.",2026-08-26,Change only where owner-approved scope actually changes; link evidence to acceptance items without redefining them.,"Local main read lines 26-45, 92-249.","Local main read lines 26-45, 92-249.",2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CAT-A05,feature plan,Feature 008 architecture plan,specs/008-catalyst-query-workbench/plan.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/plan.md,authority,Authoritative implementation roadmap and delivery goal,CAT-E01; CAT-E02,"Merged through harness #109. Defines the stable baseline, specification consolidation, four usability iterations, local owner gate, Dashboard functionality, and local/server evidence sequence.",2026-09-09,Amend this same plan only when scope or sequence changes; record detailed progress and acceptance in tasks.md.,"Local main read lines 3-16, 20-29, 109-175.","Local main read lines 3-16, 20-29, 109-175.",2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CAT-A06,design contract,Dashboard Builder binding interaction and visual design,,https://github.com/DIGI-UW/catalyst-ai/blob/b9d429f7b99945579efe09b0cd18bfaec30dacdd/docs/dashboard-builder-mvp-design.md,authority,Current binding design,CAT-E08,"Accepted design: Workbench/thread, sole SQL editor and result presentation, Dataset/Widget/Dashboard libraries, review panels, explicit publication receipts, accessibility. Final side-by-side acceptance remains open.",2026-08-26,Use as the Phase 3 browser comparison checklist; scope changes require explicit owner approval.,Merged Catalyst #82 at b9d429f; all five hosted jobs passed.,Merged Catalyst #82 at b9d429f; all five hosted jobs passed.,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CAT-A07,interactive prototype,Retired Dashboard Builder prototypes,,https://github.com/DIGI-UW/catalyst-ai/blob/6c3451d3096de069c84ffad1a90a800189d59292/docs/dashboard-builder-mvp-design.md#prototype-retirement,evidence,Retired; requirements absorbed into the written binding design,CAT-E08,"Catalyst #84 removes the three obsolete HTML pages, support runtime, and server helper. The binding design accounts for retained requirements; the approved Workbench mock is CAT-A37.",2026-08-26,No implementation work; consult the written contract and approved preview.,Catalyst #84 merged as 6c3451d; reviewed removal and requirement-disposition table.,https://github.com/DIGI-UW/catalyst-ai/pull/84,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CAT-A37,interactive prototype,Approved Catalyst staff Workbench design,site/public/catalyst-design/index.html,https://pmanko.github.io/clinical-ai-validation-harness/catalyst-design/,evidence,Current approved Workbench visual reference,CAT-E11,"Owner-frozen 9 September design: Explore and Saved work, resizable composer, nonmodal data browsing, neutral light/dark appearance, and Advanced mode. Fictional preview; no production requests.",2026-09-10,Compare the implemented UX against this preview at the local owner gate.,Approved preview published through GitHub Pages.,"[""https://github.com/pmanko/clinical-ai-validation-harness/pull/114""]",2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CAT-A08,delivery checklist,Dashboard Builder delivery goal,specs/008-catalyst-query-workbench/dashboard-mvp-delivery-goal.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/dashboard-mvp-delivery-goal.md,retired pointer,Retired into the Feature 008 specification,CAT-E08,Retired body points to the Feature 008 specification and tasks; Dashboard acceptance remains active there.,2026-09-09,Keep the successor link current; record progress only in Feature 008 tasks.,"Local read lines 3-8, 28-41, 43-102.","Local read lines 3-8, 28-41, 43-102.",2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CAT-A18,rubric,Phase 1 human-readable reader rubric,datasets/validation/catalyst/catalyst-phase1-reader-rubric-v1.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/datasets/validation/catalyst/catalyst-phase1-reader-rubric-v1.md,authority,Current evaluation rubric,CAT-E06,"Review request fulfillment, SQL/results against static reference, retained context, clarification/unsupported behavior, and limitations; no score, rank, or forced winner.",2026-08-26,Freeze the same reviewed rubric with the new comparison and record reader identity.,Local read lines 3-22.,Local read lines 3-22.,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
CLIN-A01,roadmap or supporting authority,clinical-ai-validation-harness,README.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352dba3c57a10fcaa41f2f987bd9a14c6d40/README.md#L72,program-index,,,Milestone table is an index; later approved product roadmaps control architecture.,2026-08-26T20:07:14-07:00,Reconcile current-status claims with code and evidence; retain documented historical scope.,,Milestone table is an index; later approved product roadmaps control architecture.,2026-09-09,Roadmap and specification crosswalk. A current authority can contain stale status prose; preserve its requirements and reconcile only factual progress.
