id,title,status,intent,implemented,evidence,acceptance,next_deliverable,dependencies,sources,last_checked,implementation_owner,notes,related_pull_requests,mergeReview,snapshot.as_of,snapshot.description
harness.foundation,Harness foundation,Implemented; maintenance,"One control plane for target pins, setup, metadata and real validation commands.","[""Target registry, local/VM profiles, CLI, submodule and compose helpers.""]","[""README records complete; implementation files and metadata tests exist.""]",Existing completion claim retained; current machine setup is not validated.,Restore a clean usable checkout and verify target readiness without disturbing preserved local state.,[],"[""README.md"",""harness/targets.yaml"","".specify/memory/constitution.md"",""harness/cli.py"",""harness/submodules.py"",""specs/001-harness-control-plane-foundation/spec.md""]",2026-09-06,,[],"[""https://github.com/DIGI-UW/openelis-catalyst/pull/48"",""https://github.com/DIGI-UW/openelis-catalyst/pull/9"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/84"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/78"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/54"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/51"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/49"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/47"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/40"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/38""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
harness.corpus,OpenMRS demo corpus remap,Complete; restore proof needed,Preserve clinical meaning while remapping the 2.7 public demo database to the compatible 2.8 schema.,"[""Deterministic mapping, transforms, date transplant, provenance and import tooling.""]","[""README records complete, canonical 5284-patient corpus."",""Preserved 44057876-byte July22 compressed dump checksum matches its provenance in this assessment.""]","Corpus completion is separate from current database restore, indexing and application readiness.",Reuse the verified preserved dump; record one clean restored-runtime identity and import/readability proof.,"[""harness.foundation""]","[""README.md"",""specs/002-openmrs-demo-data-2-8-remap/spec.md"",""datasets/mappings/openmrs-2.7-to-2.8.yaml"",""harness/transform/gen_modules.py"",""artifacts/demo-data/refapp_28_demo.sql.gz.provenance.json""]",2026-09-06,,[],[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
clinical.dual_provider,ChartSearchAI dual-provider completion,Mergeable candidates published; acceptance open,Bundled and Hub inference behind one OpenMRS conversation and evidence experience.,"[""Provider selection and truthful readiness; bundled default; no fallback; conversation persistence; final answer and evidence lifecycle; cancellation; browser rendering.""]","[""Historical July-Aug5 real-path proof across providers."",""Aug6 source-test checkpoint recovered by root: paired Java passed, frontend245 tests, hub684 tests; final exact-head live and independent review remained open."",""Preserved Aug6 03:19UTC hub relay probe covers Chart25a098e,Query56b49cf,ESMc9416c6,Hubcb4e05f, not final Aug6 source heads."",""September 6 merge-readiness heads are QueryStore 6436ab6, ChartSearchAI f14d2cbd, and ESM 40d5525. GitHub reports all three mergeable. QueryStore's Java 8, 11, 17 and 21 jobs, ChartSearchAI's paired Java 11, 17 and 21 jobs, and the ESM build pass. ChartSearchAI's advisory QueryStore-HEAD job remains red until #68 reaches upstream main.""]",Owner Signoff2 and Signoff3 remain pending in canonical record.,"Complete upstream review, then run a fresh artifact-bound dual-provider product proof and obtain explicit owner acceptance.","[""harness.foundation"",""harness.corpus"",""querystore.context"",""clinical.hub""]","[""specs/artifacts/planning/openmrs-dual-provider-parity-roadmap.md"",""specs/artifacts/planning/openmrs-dual-provider-parity-roadmap-status.md"",""specs/artifacts/planning/openmrs-dual-provider-conformance-contract.md"",""scripts/verify_dual_provider_parity_gates.py"",""artifacts/chartsearchai-local/relay-probe.json""]",2026-09-06,,"[""Status summary and upstream inventory need reconciliation; do not re-open completed fixes based on old prose.""]","[""https://github.com/openmrs/openmrs-esm-chartsearchai/pull/23"",""https://github.com/openmrs/openmrs-esm-chartsearchai/pull/22"",""https://github.com/openmrs/openmrs-esm-chartsearchai/pull/12"",""https://github.com/openmrs/openmrs-esm-chartsearchai/pull/11"",""https://github.com/openmrs/openmrs-esm-chartsearchai/pull/10"",""https://github.com/openmrs/openmrs-esm-chartsearchai/pull/9"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/157"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/90"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/26"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/25"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/22"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/21"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/20"",""https://github.com/pmanko/clinical-ai-validation-harness/pull/45""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
querystore.context,Shared patient context and freshness,Implemented; revalidation open,"Give both providers complete, authorized, consistently selected patient records.","[""QueryStore owns shared tiered context selection and optional question interpretation; engines own token budgets/prompts."",""Clinical vs administrative dates, snapshot/ETag, completeness, mixed-page rejection and no stale-on-error cache behavior.""]","[""Published QueryStore candidate 6436ab6 includes current upstream main and adds deterministic context snapshots."",""July22 context selection and July23 freshness proof recorded; source-level tests cover later fixes.""]","Current exact-head full-chart, context-slice and cache evidence remains part of provider completion.",Repeat chart-change/ETag/completeness and mandatory-context checks with recorded snapshot IDs.,"[""harness.corpus""]","[""specs/artifacts/planning/openmrs-dual-provider-parity-roadmap.md"",""specs/artifacts/planning/openmrs-dual-provider-conformance-contract.md"",""specs/artifacts/planning/openmrs-dual-provider-parity-roadmap-status.md"",""datasets/validation/conformance/dual-provider-conformance.v1.json"",""scripts/parity-engine-diff.py""]",2026-09-06,,[],"[""https://github.com/openmrs/openmrs-module-chartsearchai/pull/72"",""https://github.com/openmrs/openmrs-module-chartsearchai/pull/19"",""https://github.com/openmrs/openmrs-module-querystore/pull/68"",""https://github.com/openmrs/openmrs-module-querystore/pull/63""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
clinical.hub,Shared med-agent-hub execution service,Implemented shared service,Provide configured clinical stages and Catalyst model execution through one maintained service.,"[""Profile-driven clinical answer/check/evidence/In-Depth stages and source adapters."",""Current shared Hub main also contains Catalyst request/context/token evidence changes.""]","[""Pin939720e includes medication-safety PR19 Aug7 and Catalyst changes through Aug25."",""Exact pinned source inspected through available local Git objects; no live service demonstrated.""]",Shared-service availability and each consumer regression need distinct proof.,Rebuild the pinned service and exercise both clinical and Catalyst consumers after shared changes.,"[""harness.foundation""]","[""README.md"",""specs/artifacts/planning/openmrs-dual-provider-parity-roadmap.md"",""specs/005-med-agent-hub-bridge/spec.md"",""targets/med-agent-hub/server/engine.py"",""targets/med-agent-hub/server/generic_role.py""]",2026-09-06,,[],"[""https://github.com/pmanko/med-agent-hub/pull/20"",""https://github.com/pmanko/med-agent-hub/pull/18"",""https://github.com/pmanko/med-agent-hub/pull/16""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
harness.validation_spine,"Scenario runs, review and evidence spine",Implemented; status needs reconciliation,Run repeatable scenario-by-model experiments with traceable observations and separately recorded judgments.,"[""Clinical runner/client, results and events, source resolution, standalone reports, machine judges, human adjudication and recovery."",""Mongo persistence remains an explicit stub.""]","[""67 checked-in clinical scenario files and9 comparison-set files; metadata/source/report/adjudication tests exist."",""Historical published and preserved run artifacts; none revalidated as current release proof.""]",README says in progress while spec006 says shipped spine; remaining as-built reconciliation must not be conflated with rebuilding working tooling.,Define one current completion checklist for reusable spine and finish per-run snapshot/cache/checking provenance required by clinical roadmap.,"[""harness.foundation""]","[""README.md"",""specs/006-validation-harness-mvp/spec.md"",""specs/artifacts/planning/openmrs-dual-provider-parity-roadmap-status.md"",""harness/validate/runner.py"",""harness/validate/repository.py"",""harness/validate/adjudicate.py"",""specs/artifacts/lanes/L3-validation-spine-asbuilt.md""]",2026-09-06,,"[""June lane kickoff is historical; its deployment assumptions are not current instructions.""]","[""https://github.com/pmanko/med-agent-hub/pull/23"",""https://github.com/pmanko/med-agent-hub/pull/22""]",,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
harness.real_adapters,Real application adapter entrypoints,Partly implemented,Run actual target APIs/builds rather than harness simulations.,"[""OpenMRS lifecycle/build/source-pair scripts, real ChartSearchAI chat client, QueryStore integration, Catalyst workflow wrapper."",""Small legacy adapter classes expose command plans; they are not the whole runtime integration.""]","[""Production-path historical evidence exists for clinical and Catalyst; registry still marks chatbot unavailable.""]",The old feature004 PoC is explicitly historical and even its hub-only supersession note predates current bundled-preserving authority.,Update entrypoint/readiness inventory around existing real wrappers and identify the remaining missing targets.,"[""harness.foundation""]","[""harness/targets.yaml"",""specs/004-real-adapter-entrypoints/spec.md"",""harness/adapters/chartsearchai.py"",""harness/validate/client.py"",""scripts/chartsearchai-local.sh"",""scripts/openmrs-source-pair-test.sh""]",2026-09-06,,[],[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
clinical.controlled_comparison,Controlled clinical provider/model comparison,Follows product acceptance,"Measure quality, latency and evidence differences while holding other inputs fixed.","[""Scenario runner, request captures, provider attribution, deterministic checks and separately attributed judges already exist.""]","[""Older directional clinical experiments retained in report catalog; not current dual-provider comparative release evidence.""]","Roadmap explicitly places full comparison, judging and publication after product Signoff2.",An owner-approved controlled matrix and then complete per-cell report from accepted product revisions.,"[""clinical.dual_provider"",""harness.validation_spine""]","[""specs/artifacts/planning/openmrs-dual-provider-parity-roadmap.md"",""specs/artifacts/planning/openmrs-dual-provider-parity-roadmap.md"",""reports-index.json""]",2026-09-06,,"[""Do not infer a winning model from historical single-judge results.""]",[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
harness.retrieval_eval,Broader retrieval evaluation,Planned; supporting tools exist,"Measure missed/supporting records, retrieval coverage and stage-specific latency.","[""Shared-context parity instrument and source/citation utilities implemented; known-answer fixture shape tests exist.""]","[""Historical parity captures and QueryStore tests do not complete the broader M4 benchmark.""]",README lists planned; formal feature010 folder absent in this checkout.,"Scope a current retrieval-evaluation deliverable with reviewed cases, record-level misses and fixed source identity.","[""harness.corpus"",""harness.validation_spine"",""harness.real_adapters""]","[""README.md"",""specs/roadmap.canvas.tsx"",""evals/retrieval/test_known_answer_fixture_shape.py"",""scripts/parity-engine-probe.py""]",2026-09-06,,[],[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
clinical.answer_evaluation,"Answer, citation and abstention evaluation",Partly implemented; broader evaluation planned,"Explain whether answers are supported and refusals appropriate, with inspectable evidence.","[""Clinical scoring, source normalization/audit, review-draft separation, citation presentation and final-answer checking.""]","[""Source/report/adjudication code and tests; old report archive includes abstention and safety observations.""]",M5 remains planned in index; product safety checks and shipped006 evaluation subset do not amount to a completed expanded clinical benchmark.,Reconcile implemented subset and specify remaining evaluation depth against current clinical contract.,"[""harness.validation_spine"",""harness.retrieval_eval""]","[""README.md"",""specs/006-validation-harness-mvp/spec.md"",""harness/validate/sources.py"",""harness/validate/response_artifacts.py"",""specs/artifacts/planning/citation-evidence-ux-research-2026-06-27.md""]",2026-09-06,,[],[],,2026-09-10,Editable portfolio inventory. These identifiers link work; they do not replace approved milestone names. No implementation owners have been assigned by this report.
