id,kind,title,path,url,role,current_or_superseded,effort,status,evidence_date,next_update,verified_source,sources,planned_output_path,details,snapshot.as_of,snapshot.description
CAT-A01,roadmap,Catalyst program roadmap,specs/catalyst-program-roadmap.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-program-roadmap.md,authority,Current product authority; implementation status lags branch,CAT-E01; CAT-E06; CAT-E07; CAT-E08,"Defines Phase 1 session context and comparison, Phase 2 conversation definition, Phase 3 Dashboard Builder. Spark not-yet-implemented wording is stale relative to branch and recorded demo.",2026-08-27,Keep phase meanings and product decisions; update implementation status after exact-branch review.,"Local main read lines 3-31, 100-191; root live remote branch confirmation 2026-09-06.","Local main read lines 3-31, 100-191; root live remote branch confirmation 2026-09-06.",,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A02,implementation plan,Catalyst implementation plan,specs/catalyst-implementation-plan.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/catalyst-implementation-plan.md,authority,Current sequence authority; status is stale,CAT-E01; CAT-E02; CAT-E03; CAT-E04; CAT-E05,Still says generic connection has not started and describes Catalyst 75442c2. Branch implements much of that work. Preserve review checkpoints while reconciling observed completion.,2026-08-27,"Replace stale baseline statements with merged, branch, demonstrated, and owner-accepted states; list unresolved findings.","Local and recovered branch read lines 3-65, 174-359; root fetched remote latest and confirmed stale status.","Local and recovered branch read lines 3-65, 174-359; root fetched remote latest and confirmed stale status.",,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A03,specification,Feature 008 product specification,specs/008-catalyst-query-workbench/spec.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/spec.md,authority,Current,CAT-E02; CAT-E06; CAT-E08,Current product behavior and Phase 1/Phase 3 acceptance remain authoritative. Accepted notebook does not imply final dashboard acceptance.,2026-08-26,Change only where owner-approved scope actually changes; link evidence to acceptance items without redefining them.,"Local main read lines 26-45, 92-249.","Local main read lines 26-45, 92-249.",,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A04,task list,Feature 008 current tasks,specs/008-catalyst-query-workbench/tasks.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/tasks.md,status,Current tracking entry point; completion marks lag implementation,CAT-E01; CAT-E02; CAT-E03; CAT-E04; CAT-E05; CAT-E06; CAT-E07; CAT-E08,All current tasks remain unchecked despite implemented Spark branch and recorded smoke. Keep incomplete comparisons and owner gates open.,2026-08-27,Reconcile task rows against exact revisions and browser evidence; add links and dates for each completed item.,Local main read lines 3-139; branch contains no task-list update.,Local main read lines 3-139; branch contains no task-list update.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A05,feature plan,Feature 008 architecture plan,specs/008-catalyst-query-workbench/plan.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/plan.md,authority,Current supporting plan; status lags branch,CAT-E01; CAT-E02,"Describes UI, Gateway, Hub, configured SQL connection, operating store, and Superset. Duplicates open implementation status.",2026-08-26,Align status with implementation-plan update; retain architecture and ownership pointers.,"Local main read lines 3-16, 20-29, 109-175.","Local main read lines 3-16, 20-29, 109-175.",,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A06,design contract,Dashboard Builder binding interaction and visual design,,https://github.com/DIGI-UW/openelis-catalyst/blob/ce07504/docs/dashboard-builder-mvp-design.md,authority,Current binding design,CAT-E08,"Accepted design: Workbench/thread, sole SQL editor and result presentation, Dataset/Widget/Dashboard libraries, review panels, explicit publication receipts, accessibility. Final side-by-side acceptance remains open.",2026-08-26,Use as the Phase 3 browser comparison checklist; scope changes require explicit owner approval.,"Exact main pin 75442c2 read via git object, lines 3-115 and 138-202; remote branch ce07504 verified by root.","Exact main pin 75442c2 read via git object, lines 3-115 and 138-202; remote branch ce07504 verified by root.",,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A07,interactive prototype,Populated Dashboard Builder 4c reference,,https://github.com/DIGI-UW/openelis-catalyst/blob/ce07504/docs/prototypes/dashboard-builder-mvp/Catalyst%20Dashboard%20Builder%204c.dc.html,authority,Current binding visual reference,CAT-E08,"Populated design prototype with Dataset/Widget reviews, libraries and publication states; prototype data and JavaScript are illustrative, not production evidence.",2026-08-26,Compare current product screenshots side by side at final Phase 3 review.,Exact 75442c2 prototype read via git object; binding-design document names it explicitly.,Exact 75442c2 prototype read via git object; binding-design document names it explicitly.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A08,delivery checklist,Dashboard Builder delivery goal,specs/008-catalyst-query-workbench/dashboard-mvp-delivery-goal.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/dashboard-mvp-delivery-goal.md,authority,Current supporting acceptance checklist,CAT-E08,Separates one Phase 1 Dataset-to-Superset smoke from full Phase 3 design completion and owner review.,2026-08-26,Attach Phase 3 product evidence after Phase 2 definition; do not close from smoke alone.,"Local read lines 3-8, 28-41, 43-102.","Local read lines 3-8, 28-41, 43-102.",,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A09,operator guide,Catalyst quickstart,specs/008-catalyst-query-workbench/quickstart.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/008-catalyst-query-workbench/quickstart.md,tooling,Current entry point; status is stale,CAT-E01; CAT-E03; CAT-E06,"Correct wrapper and retained-data guidance, but opening says generic connection and Spark are not implemented.",2026-08-26,Refresh status and safe source-selection instructions when recovered branch is reviewed.,"Local read lines 3-23, 51-112.","Local read lines 3-23, 51-112.",,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A10,branch implementation,Catalyst Spark connection branch,,https://github.com/DIGI-UW/openelis-catalyst/pull/79,status,Current unmerged implementation,CAT-E01; CAT-E02; CAT-E03,"Published as PR #79 at d4a2368: GitHub clean with Gateway, Agents, MCP, UI and MVP assembly passing.",2026-09-06,Owner review and merge; then live Spark acceptance.,Root live GitHub/ref verification 2026-09-06; local code read at 32ccbd2; Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 line 3985 is supporting push evidence.,Root live GitHub/ref verification 2026-09-06; local code read at 32ccbd2; Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 line 3985 is supporting push evidence.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A11,branch implementation,Harness Spark remediation branch,feat/spark-remediation,https://github.com/pmanko/clinical-ai-validation-harness/pull/100,status,Current unmerged implementation,CAT-E01; CAT-E04; CAT-E05; CAT-E09,"Published as PR #100 at 9d67fbb: GitHub clean with shellcheck/docs, pytest, openmrs-integration-source and GitGuardian passing; pins Catalyst d4a2368 and ChartSearchAI 31a8c162.",2026-09-06,Merge after Catalyst #79; then live acceptance.,Root live GitHub/ref verification; local history; Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 line 3985 is supporting push evidence.,Root live GitHub/ref verification; local history; Claude transcript 4f5a9e47-72c2-4f5b-a027-501cb7174bd6 line 3985 is supporting push evidence.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A12,configuration,OpenMRS HIV Spark source and pipeline,catalyst-sources/openmrs-hiv,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/catalyst-sources/openmrs-hiv,tooling,Current branch configuration,CAT-E03,"Branch enables Parquet/Hive views and points Catalyst to Spark; removes generated catalog, PostgreSQL sink, and copied analytics SQL. Source currently selects default namespace.",2026-08-27,Resolve source namespace isolation before adding OpenELIS ingestion; retain original source identities and provenance.,Recovered branch data-sources.json:4-7; config/thriftserver-hive-config.json:2-8; commit diff 4053352..fb9d589.,Recovered branch data-sources.json:4-7; config/thriftserver-hive-config.json:2-8; commit diff 4053352..fb9d589.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A13,finding,Open source collision in Spark namespace,specs/artifacts/findings/two-sources-share-one-spark-namespace.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/artifacts/findings/two-sources-share-one-spark-namespace.md,status,Current unresolved finding,CAT-E03,Both sources use default Hive database; OpenELIS ingestion would take HIV relation names. Only HIV has been ingested. Existing databaseName configuration permits source separation.,2026-08-27,"Record owner deployment choice, configure source namespaces, then prove each selected source independently.",Finding lines 7-41 and both inspected source configs; root rechecked remote finding.,Finding lines 7-41 and both inspected source configs; root rechecked remote finding.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A14,finding,Corrected schema capacity diagnosis,specs/artifacts/findings/spark-schema-exceeds-writer-context.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/artifacts/findings/spark-schema-exceeds-writer-context.md,evidence,Resolved correction; earlier diagnosis superseded,CAT-E02,Actual issue was duplicated nested native types in synthesized descriptions. Complete schema request shrank from 187652 to 24145 bytes; writer SQL returned 5384 without filtering relations.,2026-08-27,Retain as diagnosis evidence; do not reopen model capacity decision without fresh failure.,Finding lines 13-49; recovered dialect implementation uses only actual comments.,Finding lines 13-49; recovered dialect implementation uses only actual comments.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A15,finding,Superset stale PostgreSQL connection corrected,specs/artifacts/findings/superset-retains-the-retired-database-record.md,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/specs/artifacts/findings/superset-retains-the-retired-database-record.md,evidence,Resolved correction,CAT-E02; CAT-E09,Importer reconciles existing deterministic database UUID to changed URI and records receipt; Catalyst and Superset both returned 5384.,2026-08-27,Carry regression and receipt checks into merge review; do not repeat manual deletion workaround.,Finding lines 23-43; actual importer receipt at 2026-08-27T09:59:13.661Z.,Finding lines 23-43; actual importer receipt at 2026-08-27T09:59:13.661Z.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
CAT-A16,scenario suite,Phase 1 reader-led comparison v2,datasets/validation/catalyst/catalyst-phase1-comparison-v2.json,https://github.com/pmanko/clinical-ai-validation-harness/blob/2cf3de8/datasets/validation/catalyst/catalyst-phase1-comparison-v2.json,tooling,Selected suite template; references stale for Spark,CAT-E05; CAT-E06,12 scenarios and 21 evaluated turns defined by roadmap; suite still names old HIV dataset/catalog identity and gold-check structures. Fresh Spark reference authoring remains outstanding.,2026-08-26,"After readable source acceptance, author/run/review each ready reference once through Catalyst; review clarification/unsupported expectations.",Local suite parse; roadmap scenario table; root remote runner and suite status verification.,Local suite parse; roadmap scenario table; root remote runner and suite status verification.,,,2026-09-06,"Artifact registry: requirements, implementation/status records, configurations, evidence, tools and outputs. Role distinguishes authority from observation."
