table_name,policy,rationale,ticket_ref
concept_set_derived,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
concept_word,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
dataintegrity_integrity_checks,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
formentry_archive,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
formentry_error,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
formentry_queue,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
formentry_xsn,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
htmlformentry_html_form,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
logic_rule_definition,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
logic_rule_token,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
logic_rule_token_tag,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
logic_token_registration,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
logic_token_registration_tag,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
metadatasharing_exported_package,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
metadatasharing_imported_item,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
metadatasharing_imported_package,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
metadatasharing_imported_package_item,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
room_temperature,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
tribe,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
xforms_medical_history_field,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
xforms_person_repeat_attribute,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
xforms_xform,carry-forward,legacy-only table not in 2.8 RefApp baseline; default carry-forward,
