id,title,url,role,status,source,next_update,path,details,snapshot.as_of,snapshot.description
public-home,Open Clinical AI landing page,https://openclinai.org/,Public product summary and demonstrations,HTTP 200; Spark demo copy is ahead of main,landing/index.html,Publish a reviewed current summary and link accepted evidence.,,,2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
public-docs,Public documentation and roadmap canvases,https://pmanko.github.io/clinical-ai-validation-harness/,"Public architecture, research and navigation",HTTP 200; application shell only checked,site/nav.ts; site/App.tsx; specs/roadmap.canvas.tsx,Align public canvas summaries with current authorities and link the reviewed status summary.,,,2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
public-reports,Published reports index,https://reports.openclinai.org/,Curated historical and current run catalog,HTTP 200; 19 deployed entries versus 16 in main,reports-index.json; scripts/build-reports-index.py,Reconcile the three Catalyst entries and explicit report-family/method labels.,,,2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
catalyst-app,Catalyst live application,https://catalyst.openelis-global.org/,Product interaction and acceptance,HTTP 200; functional behavior and deployed revision not checked today,targets/catalyst/catalyst-ui,Verify deployed revision after branch review and execute agreed product proof.,,,2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
catalyst-design,Approved Catalyst staff Workbench design preview,https://pmanko.github.io/clinical-ai-validation-harness/catalyst-design/,Interactive visual acceptance reference,"Approved staff Workbench mock. Fictional examples, no product requests.",targets/catalyst/docs/specs/staff-workbench-ux/ → site/public/catalyst-design/,Keep frozen for side-by-side implementation review; replace only through an approved design amendment.,,,2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
openmrs-app,OpenMRS demonstration,https://openmrs.openclinai.org/,Clinical product interaction and acceptance,HTTP 200; functional behavior and deployed revision not checked today,scripts/chartsearchai-local.sh; scripts/dual-provider-up.sh,Restore and record exact-revision two-provider proof.,,,2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
spark-video,FHIR-to-dashboard recording,https://catalyst.openelis-global.org/media/catalyst-fhir-to-dashboard-demo-20260827.mp4,Dated product demonstration,"HTTP 200; published August 27, duration 1:41",Catalyst feat/spark-connection; landing/index.html,Preserve provenance and link current accepted deployment; keep demonstration distinct from final acceptance.,,,2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
catalyst-comparison,Historical Catalyst three-team comparison,https://reports.openclinai.org/catalyst-phase1-comparison/comparison.html,Historical comparison report,HTTP 200; PostgreSQL-era method and thresholds,scripts/publish-catalyst-profile-comparison.py,Label historical scope and link the future reader-led Spark comparison.,,,2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
catalyst-conversations,Historical Catalyst conversation grid,https://reports.openclinai.org/catalyst-phase1-comparison/dashboard.html,Case-level historical evidence,HTTP 200; no fresh Spark comparison,scripts/validate-dashboard.py --freeze --run,Keep older run evidence immutable; create new output for the Spark run.,,,2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
superset-local,Superset rendered dashboard,http://localhost:18088,Product output and numeric evidence,August 27 demonstration; not running or inspected locally today,scripts/catalyst-mvp.sh superset-status,"Check import receipt, source connection and rendered output at chosen revisions.",,,2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
pipes-local,FHIR Data Pipes control panel,http://localhost:18091,Reference pipeline operation,August 27 demonstration; not inspected locally today,catalyst-sources/openmrs-hiv/config/thriftserver-hive-config.json,Separate source databases before another OpenELIS seed.,,,2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
repo-hub,Repository project status hub,https://pmanko.github.io/clinical-ai-validation-harness/status/,Versioned cross-project overview and evidence browser,GitHub Pages publication prepared in harness #101; the private September 6 site remains a legacy snapshot,site/status; JSON inventories and render.py,"Merge harness #101, verify the published Pages build, and refresh the repository inventory after meaningful work events.",specs/artifacts/project-status/README.md,,2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
tool-dashboard,Live validation dashboard,http://localhost:8099,"Inspect progress, model residency and each conversation.","Run observation, not authoritative roadmap status or acceptance.",scripts/validate-dashboard.py; Makefile,Use the exact run and revision; preserve outputs and link them to the owning effort.,,"{""entrypoints"":[""python3 scripts/validate-dashboard.py"",""make dashboard-ensure"",""DASH_RUN=<run-id-or-path> to pin an exact run""],""id"":""dashboard"",""inputs"":[""Clinical artifacts/validate/*"",""Catalyst artifacts/catalyst-notebook-validation/*""],""live_verified"":false,""name"":""Live validation dashboard"",""outputs"":[""http://localhost:8099"",""--freeze --run static snapshot""],""purpose"":""Inspect progress, model residency and each conversation."",""scope_limit"":""Run observation, not authoritative roadmap status or acceptance."",""sources"":[""scripts/validate-dashboard.py"",""Makefile""]}",2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
tool-clinical_runner,Clinical comparison runner,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352/harness/validate/runner.py,Replay multi-turn scenarios through real provider path.,Full comparative stage requires recorded product Signoff2.,harness/validate/runner.py; harness/validate/models.py; Makefile,Use the exact run and revision; preserve outputs and link them to the owning effort.,,"{""entrypoints"":[""make validate-run SET=<set> REFERENCE_DATE=<date>"",""harness-cli validate run""],""id"":""clinical_runner"",""inputs"":[""scenario JSON"",""comparison-set JSON"",""backend/profile configuration""],""live_verified"":false,""name"":""Clinical comparison runner"",""outputs"":[""run_manifest.json"",""run_meta.json"",""events.jsonl"",""results.jsonl""],""purpose"":""Replay multi-turn scenarios through real provider path."",""scope_limit"":""Full comparative stage requires recorded product Signoff2."",""sources"":[""harness/validate/runner.py"",""harness/validate/models.py"",""Makefile""]}",2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
tool-judge_pipeline,Clinical machine review pipeline,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352/Makefile,"Prepare full evidence, retain separate judge actors and finalize recorded results.",Preparation/finalization do not themselves invoke a judge; historical Claude fan-out is described separately. Do not use clinical aggregate scores as Catalyst rules.,Makefile; scripts/judge-prep.py; scripts/judge-finalize.py,Use the exact run and revision; preserve outputs and link them to the owning effort.,,"{""entrypoints"":[""make validate-judge-prep RUN=<id>"",""make validate-judge-finalize RUN=<id> ROWS=<file> JUDGE_ACTOR=<id>""],""id"":""judge_pipeline"",""inputs"":[""final answers/blocks/sources"",""chart snapshots"",""judge output rows""],""live_verified"":false,""name"":""Clinical machine review pipeline"",""outputs"":[""judge-cells.jsonl"",""judge.jsonl"",""judges/<actor>/judge.jsonl""],""purpose"":""Prepare full evidence, retain separate judge actors and finalize recorded results."",""scope_limit"":""Preparation/finalization do not themselves invoke a judge; historical Claude fan-out is described separately. Do not use clinical aggregate scores as Catalyst rules."",""sources"":[""Makefile"",""scripts/judge-prep.py"",""scripts/judge-finalize.py""]}",2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
tool-human_adjudication,Human review,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352/harness/validate/adjudicate.py,Capture named reviewer scores and rationale against a displayed case.,Availability of UI/tool is not completed clinician review.,harness/validate/adjudicate.py; Makefile,Use the exact run and revision; preserve outputs and link them to the owning effort.,,"{""entrypoints"":[""make validate-adjudicate RUN=<id> REVIEWER=<id>"",""harness-cli validate adjudicate""],""id"":""human_adjudication"",""inputs"":[""judge rows"",""sample mode"",""chart and source artifacts""],""live_verified"":false,""name"":""Human review"",""outputs"":[""adjudication.jsonl"",""feedback export""],""purpose"":""Capture named reviewer scores and rationale against a displayed case."",""scope_limit"":""Availability of UI/tool is not completed clinician review."",""sources"":[""harness/validate/adjudicate.py"",""Makefile""]}",2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
tool-report_generator,Clinical static report,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352/harness/validate/report.py,Render complete runs and independent review views.,Current render must be tied to exact input version; historical report methods remain explicit.,harness/validate/report.py; harness/report_shell/assets.py,Use the exact run and revision; preserve outputs and link them to the owning effort.,,"{""entrypoints"":[""make validate-report RUN=<id>""],""id"":""report_generator"",""inputs"":[""manifest"",""results"",""events"",""judges"",""adjudication"",""model/trace provenance""],""live_verified"":false,""name"":""Clinical static report"",""outputs"":[""report.html""],""purpose"":""Render complete runs and independent review views."",""scope_limit"":""Current render must be tied to exact input version; historical report methods remain explicit."",""sources"":[""harness/validate/report.py"",""harness/report_shell/assets.py""]}",2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
tool-report_publication,Report staging and publication,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352/scripts/stage-report.py,Stage an explicit report then publish and index it.,External mutation requires user authorization; publication does not certify clinical acceptance.,scripts/stage-report.py; scripts/publish-report.sh; scripts/validate-publish.sh; scripts/build-reports-index.py,Use the exact run and revision; preserve outputs and link them to the owning effort.,,"{""entrypoints"":[""scripts/stage-report.py"",""scripts/publish-report.sh"",""make validate-publish RUN=<id> SLUG=<slug>"",""scripts/build-reports-index.py""],""id"":""report_publication"",""inputs"":[""run artifacts"",""reports-index.json""],""live_verified"":false,""name"":""Report staging and publication"",""outputs"":[""staged report corpus"",""public reports index""],""purpose"":""Stage an explicit report then publish and index it."",""scope_limit"":""External mutation requires user authorization; publication does not certify clinical acceptance."",""sources"":[""scripts/stage-report.py"",""scripts/publish-report.sh"",""scripts/validate-publish.sh"",""scripts/build-reports-index.py""]}",2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
tool-provider_parity,Engine request capture and parity,https://github.com/pmanko/clinical-ai-validation-harness/blob/4053352/scripts/engine-tap.py,Compare provider requests and shared mandatory evidence.,Identical answers are not required; approved residual differences remain explicit.,scripts/engine-tap.py; scripts/parity-engine-probe.py; scripts/parity-engine-diff.py; datasets/validation/conformance/engine-parity.v1.json,Use the exact run and revision; preserve outputs and link them to the owning effort.,,"{""entrypoints"":[""scripts/engine-tap.py"",""scripts/parity-engine-probe.py"",""scripts/parity-engine-diff.py""],""id"":""provider_parity"",""inputs"":[""real provider requests"",""engine-parity.v1.json""],""live_verified"":false,""name"":""Engine request capture and parity"",""outputs"":[""probe-manifest.json"",""captured requests"",""parity-diff.json""],""purpose"":""Compare provider requests and shared mandatory evidence."",""scope_limit"":""Identical answers are not required; approved residual differences remain explicit."",""sources"":[""scripts/engine-tap.py"",""scripts/parity-engine-probe.py"",""scripts/parity-engine-diff.py"",""datasets/validation/conformance/engine-parity.v1.json""]}",2026-09-10,"Inventory of publication, product and operator surfaces. Public HTTP availability is distinct from runtime functionality. Local URLs are documented targets, not verified running services."
